Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
5340000.0 ; 0.9216672
5360000.0 ; 1.458567
5362000.0 ; 1.697967
5370000.0 ; 1.864067
5371000.0 ; 1.844467
5378000.0 ; 1.630767
5380000.0 ; 1.553867
5390000.0 ; 1.337667
5400000.0 ; 1.202767
5410000.0 ; 1.133766
5420000.0 ; 1.098666
5430000.0 ; 1.069966
5440000.0 ; 1.060366
5460000.0 ; 1.016466
5474740.0 ; 1.006922
5500000.0 ; 0.9905653
5550000.0 ; 0.9727647
5553000.0 ; 0.9817646
5600000.0 ; 0.9588636
5650000.0 ; 0.9419625
5700000.0 ; 0.9200614
5800000.0 ; 0.9098593
5900000.0 ; 0.8853571
6000000.0 ; 0.875355
6050000.0 ; 0.8726539
6053000.0 ; 0.8756538
6125000.0 ; 0.8907518
6160000.0 ; 0.9140508
6174000.0 ; 0.9388504
6180000.0 ; 0.9455503
6181200.0 ; 0.9476662
6181241.0 ; 0.9477386
6190000.0 ; 0.963212
6200000.0 ; 0.9807917
6210000.0 ; 1.023931
6220000.0 ; 1.038771
6230000.0 ; 1.085411
6240000.0 ; 1.16225
6250000.0 ; 1.237489
6285000.0 ; 2.104878
6295000.0 ; 2.382617
6303000.0 ; 2.263269
6310000.0 ; 2.011527
6320000.0 ; 1.596266
6330000.0 ; 1.368506
6340000.0 ; 1.192705
6350000.0 ; 1.146304
6360000.0 ; 1.224303
6370000.0 ; 1.066002
6390000.0 ; 0.8893001
6400000.0 ; 0.8725991
6410000.0 ; 0.8473981
6420000.0 ; 0.8254972
6430000.0 ; 0.8413962
6440000.0 ; 0.8276952
6450000.0 ; 0.8336942
6470000.0 ; 0.8280922
6490000.0 ; 0.8303902
6510000.0 ; 0.8043883
6540000.0 ; 0.7057853
6553000.0 ; 0.631754
6558080.0 ; 0.6020935
6560000.0 ; 0.5908833
6570000.0 ; 0.5304422
6580000.0 ; 0.5013212
6590000.0 ; 0.5050101
6600000.0 ; 0.514009
6620000.0 ; 0.5769369
6640000.0 ; 0.5919048
6658000.0 ; 0.7369228
6665000.0 ; 0.6824821
6670000.0 ; 0.6701116
6680000.0 ; 0.6613505
6700000.0 ; 0.6555384
6750000.0 ; 0.6499931
6810000.0 ; 0.6457667
6920000.0 ; 0.606045
7000000.0 ; 0.5736164
7053000.0 ; 0.5726208
7100000.0 ; 0.5691353
7140000.0 ; 0.5828107
7180000.0 ; 0.602546
7200000.0 ; 0.6398751
7220000.0 ; 0.6678271
7225000.0 ; 0.6763279
7250000.0 ; 0.7467458
7270000.0 ; 0.8226378
7280000.0 ; 0.8841454
7340000.0 ; 1.332045
7350000.0 ; 1.429922
7360000.0 ; 1.422168
7370000.0 ; 1.46397
7400000.0 ; 1.413788
7420000.0 ; 1.397957
7470000.0 ; 1.37137
7529000.0 ; 1.378162
7542000.0 ; 1.363398
7553000.0 ; 1.355141
7594000.0 ; 1.337997
7620000.0 ; 1.326286
7641410.0 ; 1.333954
7650000.0 ; 1.337031
7667000.0 ; 1.390861
7680000.0 ; 1.414839
7698000.0 ; 1.525053
7700000.0 ; 1.529955
7725000.0 ; 1.798866
7745000.0 ; 1.987272
7750000.0 ; 1.954229
7770000.0 ; 1.823504
7789000.0 ; 1.683315
7810000.0 ; 1.580566
7819000.0 ; 1.582205
7860000.0 ; 1.52173
7886400.0 ; 1.492688
7886448.0 ; 1.492139
7888000.0 ; 1.474376
7897000.0 ; 1.471598
7930000.0 ; 1.431961
7936000.0 ; 1.409819
8000000.0 ; 1.350856
8005000.0 ; 1.354554
8010000.0 ; 1.30527
8014000.0 ; 1.334019
8044000.0 ; 1.297253
8053000.0 ; 1.330648
8079000.0 ; 1.322818
8080000.0 ; 1.314708
8100000.0 ; 1.317188
8101000.0 ; 1.331878
8105000.0 ; 1.318278
8109000.0 ; 1.299968
8120000.0 ; 1.281957
8131000.0 ; 1.248037
8138000.0 ; 1.233027
8160000.0 ; 1.156197
8166000.0 ; 1.115987
8200000.0 ; 0.9730368
8210000.0 ; 0.9490267
8218000.0 ; 0.9418167
8240000.0 ; 0.9209765
8280000.0 ; 0.8771261
8295800.0 ; 0.860696
8296200.0 ; 0.856596
8296218.0 ; 0.8565918
8320000.0 ; 0.8509958
8330000.0 ; 0.8374157
8391000.0 ; 0.8025752
8400000.0 ; 0.7975151
8426000.0 ; 0.8001749
8448000.0 ; 0.7856947
8450000.0 ; 0.7715646
8480000.0 ; 0.7762444
8499500.0 ; 0.7571142
8500000.0 ; 0.7491042
8520000.0 ; 0.757164
8553000.0 ; 0.7394138
8600000.0 ; 0.7552142
8611000.0 ; 0.7563343
8664000.0 ; 0.7480348
8700000.0 ; 0.7451351
8708000.0 ; 0.7371952
8724740.0 ; 0.7296185
8750000.0 ; 0.7181856
8768000.0 ; 0.7160857
8800000.0 ; 0.706846
8833000.0 ; 0.6889963
8850000.0 ; 0.6772065
8885000.0 ; 0.6683168
8920000.0 ; 0.6382271
8940000.0 ; 0.6376873
8980000.0 ; 0.6329177
9000000.0 ; 0.6306779
9005000.0 ; 0.6443879
9020000.0 ; 0.6425181
9030000.0 ; 0.6504482
9045000.0 ; 0.6536783
9053000.0 ; 0.6692384
9067000.0 ; 0.6683888
9080000.0 ; 0.6856592
9149000.0 ; 0.7233312
9163000.0 ; 0.7367917
9180000.0 ; 0.7352822
9219000.0 ; 0.7314933
9250000.0 ; 0.7246442
9254000.0 ; 0.7333744
9300000.0 ; 0.7169557
9360000.0 ; 0.6995975
9400000.0 ; 0.6813887
9450000.0 ; 0.6715002
9500000.0 ; 0.6693117
9522000.0 ; 0.6697323
9553000.0 ; 0.6644933
9560000.0 ; 0.6691734
9590000.0 ; 0.6710539
9600000.0 ; 0.6714841
9630000.0 ; 0.6801646
9640000.0 ; 0.6874948
9678000.0 ; 0.6856355
9680000.0 ; 0.6844055
9692000.0 ; 0.6829957
9700000.0 ; 0.6854558
9726000.0 ; 0.6703063
9740000.0 ; 0.6762665
9750000.0 ; 0.6695867
9800000.0 ; 0.6845276
9808080.0 ; 0.6842353
9821000.0 ; 0.683768
9830000.0 ; 0.6863081
9868000.0 ; 0.6787488
9900000.0 ; 0.6717994
9917000.0 ; 0.6742096
9921000.0 ; 0.6675397
1.0E7 ; 0.6567711
1.005E7 ; 0.643412
1.0053E7 ; 0.636882
1.017E7 ; 0.6420644
1.025E7 ; 0.634386
1.03E7 ; 0.628637
1.0372E7 ; 0.6350785
1.04E7 ; 0.6433191
1.0448E7 ; 0.66502
1.044806E7 ; 0.6650462
1.0478E7 ; 0.6781307
1.05E7 ; 0.6909111
1.0506E7 ; 0.6909012
1.0536E7 ; 0.7017418
1.055E7 ; 0.6982821
1.0553E7 ; 0.7084822
1.062E7 ; 0.7254834
1.069E7 ; 0.7508846
1.07E7 ; 0.7526048
1.075E7 ; 0.7861757
1.08E7 ; 0.8128466
1.083E7 ; 0.8325971
1.08914E7 ; 0.8683857
1.09E7 ; 0.8733984
1.094E7 ; 0.8874491
1.1E7 ; 0.8621401
1.1004E7 ; 0.8562302
1.1053E7 ; 0.8669211
1.1096E7 ; 0.8635915
1.11E7 ; 0.8685816
1.1166E7 ; 0.8852923
1.117E7 ; 0.8868723
1.125E7 ; 0.8755831
1.13E7 ; 0.8730537
1.14E7 ; 0.8727947
1.15E7 ; 0.8644358
1.1553E7 ; 0.8514563
1.1708E7 ; 0.8384571
1.175E7 ; 0.8534774
1.1751E7 ; 0.8485974
1.18E7 ; 0.8577876
1.1828E7 ; 0.8700678
1.19E7 ; 0.9048182
1.1909E7 ; 0.9008382
1.1917E7 ; 0.9126283
1.19747E7 ; 0.9034661
1.2E7 ; 0.8994487
1.205E7 ; 0.909919
1.2053E7 ; 0.913379
1.2088E7 ; 0.9103387
1.21E7 ; 0.9109886
1.2196E7 ; 0.8718877
1.2224E7 ; 0.8650374
1.225E7 ; 0.8612072
1.23E7 ; 0.8484767
1.24E7 ; 0.8392258
1.25E7 ; 0.8560648
1.2553E7 ; 0.8641743
1.2599E7 ; 0.8697535
1.27E7 ; 0.8872515
1.2738E7 ; 0.8895008
1.2792E7 ; 0.9067198
1.29E7 ; 0.9194677
1.299E7 ; 0.943646
1.3E7 ; 0.9419758
1.3053E7 ; 0.9368348
1.30581E7 ; 0.9367467
1.31E7 ; 0.936023
1.312E7 ; 0.9356122
1.325E7 ; 0.9248772
1.328E7 ; 0.9145161
1.33E7 ; 0.9156053
1.35E7 ; 0.9052876
1.35208E7 ; 0.907788
1.354E7 ; 0.9100961
1.3553E7 ; 0.9094356
1.3587E7 ; 0.909454
1.3646E7 ; 0.8955912
1.37E7 ; 0.8891086
1.3767E7 ; 0.8808754
1.376742E7 ; 0.8807162
1.3822E7 ; 0.8600328
1.383E7 ; 0.8597924
1.3965E7 ; 0.841346
1.4E7 ; 0.8192143
1.4053E7 ; 0.8249418
1.41414E7 ; 0.8294061
1.4182E7 ; 0.8314564
1.425E7 ; 0.8372635
1.4364E7 ; 0.8302987
1.4419E7 ; 0.8243664
1.4472E7 ; 0.8378942
1.45E7 ; 0.8434431
1.4553E7 ; 0.8538047
1.45644E7 ; 0.8545005
